bookID,title,authors,rating,num_pages,year,
130,The Portrait of a Lady,Al Ries/Jack Trout,3.12,4,1970,
131,Writing,Al Ries/Jack Trout,3.12,4,1970,
132,The War,Al Ries/Jack Trout,3.12,4,1970,
133,The Ravishing of Lol Stein,Al Ries/Laura Ries,3.12,5,1970,
134,Love Letters,Alain de Botton,3.12,5,1970,
135,Kahlil Gibran: His Life and World,Alain de Botton,3.12,5,1970,
136,The Beloved: Reflections on the Path of the Heart,Alain de Botton,3.12,5,1970,
137,Jesus the Son of Man,Alain de Botton,3.12,5,1971,
138,The Broken Wings,Alain de Botton,3.12,5,1971,
139,Sand and Foam,Alain de Botton,3.12,5,1971,
140,Treasure Island,Alain de Botton,3.13,5,1971,
141,Treasure Island,Alan  Lee/Ian McKellen,3.13,5,1971,
142,Treasure Island,Alan Aldridge/The Beatles,3.13,5,1971,
143,Treasure Island,Alan Brennert,3.13,5,1971,
144,Treasure Island,Alan Cohen,3.13,5,1971,
145,Treasure Island (Great Illustrated Classics),Alan Dean Foster,3.13,5,1971,
146,100 Years of Lynchings,Alan Dean Foster,3.13,5,1971,
147,Cien años de soledad,Alan Dean Foster,3.13,5,1971,
148,On Beyond Zebra!,Alan Dean Foster,3.14,5,1972,
149,The Wedding Clause,Alan Dean Foster,3.14,6,1972,
150,The Zebra Wall,Alan Dean Foster,3.14,6,1972,
151,El perfume: Historia de un asesino,Alan Dean Foster,3.14,6,1972,
152,The Door Into Summer,Alan Dean Foster,3.14,6,1972,
153,Stranger in a Strange Land,Alan Dean Foster,3.15,6,1972,
154,To Sail Beyond the Sunset,Alan Dean Foster,3.15,6,1972,
155,Job: A Comedy of Justice,Alan Dean Foster,3.15,6,1972,
156,Time for the Stars (Heinlein's Juveniles  #10),Alan Dean Foster,3.15,6,1972,
157,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Alan Dean Foster,3.15,6,1972,
158,The Salmon of Doubt (Dirk Gently  #3),Alan Dean Foster,3.16,6,1972,
159,Wish You Were Here: The Official Biography of Douglas Adams,Alan Dean Foster,3.16,6,1972,
160,Douglas Adams's Starship Titanic,Alan Dean Foster,3.16,6,1972,
161,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Alan Dean Foster,3.16,6,1972,
162,The Phantom Tollbooth: A Children's Play in Two Acts,Alan Dean Foster,3.16,6,1973,
163,On Bullshit,Alan Dean Foster,3.16,6,1973,
164,Another Bullshit Night in Suck City,Alan Dean Foster,3.16,6,1973,
165,Lincoln at Gettysburg: The Words That Remade America,Alan Dean Foster,3.16,6,1973,
166,The Gettysburg Address,Alan Dean Foster/George Alec Effinger/Jack McDevitt/Nina Kiriki Hoffman/Mike Resnick/R.A. Lafferty/Tobias Grace/Laura Resnick/Margaret Ball/Ron Goulart/Mel Gilden/Edward Wellen/Wolfgang Jeschke/Greg Costikyan/Esther M. Friesner/Steve Rasnic Tem,3.17,6,1973,
167,Underworld,Alan Dean Foster/James Gurney,3.17,6,1973,
168,Libra,Alan Hausman/Paul Tidman,3.17,6,1973,
169,Americana,Alan Hollinghurst,3.17,7,1973,
170,Running Dog,Alan Hollinghurst,3.17,7,1973,
171,Cosmopolis,Alan Lightman,3.17,7,1973,
172,Great Jones Street,Alan Lightman,3.18,7,1973,
173,The Names,Alan MacGillivray,3.18,7,1973,
174,Against the Day,Alan Moore/David   Lloyd,3.18,7,1973,
175,V.,Alan Moore/John Totleben/Steve Oliff/Joe Caramagna/Michael Kelleher/Peter Milligan/Mike Allred,3.18,8,1973,
176,The Crying of Lot 49,Alan Paton,3.19,8,1973,
177,Gravity's Rainbow,Alan Paton,3.19,8,1973,
178,Mason & Dixon,Alan Paton,3.19,8,1974,
179,Vineland,Alastair Lamb,3.19,8,1974,
180,Gravity's Rainbow,Albert Camus,3.2,8,1974,
181,Slow Learner: Early Stories,Albert Camus,3.2,8,1974,
182,Been Down So Long It Looks Like Up To Me,Albert Camus,3.2,8,1974,
183,The Year of Magical Thinking,Albert Camus,3.2,8,1974,
184,The White Album,Albert Camus,3.2,8,1974,
185,A Book of Common Prayer,Albert Camus,3.2,9,1974,
186,Where I Was From,Albert Camus,3.21,9,1974,
187,Slouching Towards Bethlehem,Albert Camus/Anthony Bower/Herbert Read,3.21,9,1974,
188,Democracy,Albert Camus/Carol Cosman/Orhan Pamuk,3.21,9,1974,
189,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Albert Camus/Catherine Camus,3.21,9,1974,
190,Play It As It Lays,Albert Camus/Ellen Conroy Kennedy/Philip Thody,3.21,9,1975,
191,The New York Trilogy,Albert Camus/Jacqueline Levi-Valensi/Arthur Goldhammer/David Carroll,3.21,9,1975,
192,City of Glass (The New York Trilogy  #1),Albert Camus/Justin O'Brien,3.21,9,1975,
193,Ghosts (The New York Trilogy  #2),Albert Camus/Justin O'Brien,3.21,9,1975,
194,The Locked Room (The New York Trilogy  #3),Albert Camus/Justin O'Brien,3.22,9,1975,
195,Pyramids of Montauk: Explorations in Consciousness,Albert Camus/Manuel de Lope,3.22,9,1975,
196,The Brooklyn Follies,Albert Camus/Philip Thody/Justin O'Brien,3.22,10,1975,
197,Moon Palace,Albert Camus/Pierre-Louis Rey/P. Morgan/E.T. Jones,3.22,10,1975,
198,The Music of Chance,Albert Camus/Richard Howard/Jean Sarocchi,3.22,10,1975,
199,Travels in the Scriptorium,Albert Camus/Robin Buss,3.22,10,1975,
200,Leviathan,Albert Camus/Stuart Gilbert,3.22,10,1975,
201,The Red Notebook: True Stories,Albert Camus/Stuart Gilbert/Justin O'Brien/David Bellos,3.22,10,1975,
202,Timbuktu / Leviathan / Moon Palace,Albert Demeo/Mary Jane Ross,3.23,10,1975,
203,Collapse: How Societies Choose to Fail or Succeed,Albert Einstein/Brian Greene,3.23,10,1975,
204,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Albert Einstein/Hanoch Gutfreund,3.23,10,1975,
205,Collapse of Complex Societies,Albert Einstein/Nigel Calder/Robert W. Lawson,3.23,10,1975,
206,Bowling Alone: The Collapse and Revival of American Community,Albert Einstein/Roger Penrose/Robert Geroch/David C. Cassidy,3.23,10,1976,
207,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Albert Ellis,3.23,10,1976,
208,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Albert Jack/Ann Page,3.23,10,1976,
209,My Inventions,Albert Marrin/C.B. Mordan,3.23,11,1976,
210,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Albert Speer,3.24,11,1976,
211,Nikola Tesla: A Spark of Genius,Alcoholics Anonymous,3.24,11,1976,
212,Tesla Papers,Alcoholics Anonymous,3.24,11,1976,
213,Boys of Summer,Alden T. Vaughan,3.24,11,1976,
214,Programming Ruby: The Pragmatic Programmers' Guide,Aldon D. Morris,3.24,11,1976,
215,Golding's Lord of the Flies (Cliffs Notes),Aldous Huxley,3.25,11,1976,
216,Lord of the Flies,Aldous Huxley,3.25,12,1976,
217,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Aldous Huxley,3.25,12,1976,
218,We Were Not Like Other People,Aldous Huxley,3.25,12,1976,
219,The Lovely Bones,Aldous Huxley,3.25,12,1976,
220,The Lovely Bones,Aldous Huxley,3.25,12,1976,
221,Lovely in Her Bones (Elizabeth MacPherson  #2),Aldous Huxley,3.25,12,1976,
222,The Zen of CSS Design: Visual Enlightenment for the Web,Aldous Huxley,3.25,12,1976,
223,HTML  XHTML  and CSS (Visual Quickstart Guide),Aldous Huxley,3.25,12,1976,
224,1000 Record Covers,Aldous Huxley,3.25,12,1976,
225,Killing Yourself to Live: 85% of a True Story,Aldous Huxley/Christopher Hitchens,3.25,12,1976,
226,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Aldous Huxley/Christopher Hitchens,3.25,12,1976,
227,Vice (V  #8),Aldous Huxley/Huston Smith/Jacqueline Hazard Bridgeman,3.25,12,1976,
228,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Aldous Huxley/Michael Horowitz/Cynthia Palmer,3.25,12,1976,
229,Once Upon a Cool Motorcycle Dude,Aldous Huxley/Robert S. Baker/James Sexton,3.25,12,1976,
230,Guidebook to Zen and the Art of Motorcycle Maintenance,Aldous Huxley/Robert S. Baker/James Sexton,3.25,13,1976,
231,Motorcycle Basics Techbook,Alec MacLellan,3.26,13,1976,
232,LOGO Lounge: 2 000 International Identities by Leading Designers,Aleksandr Solzhenitsyn/H.T. Willetts,3.26,13,1976,
233,The Death of Ivan Ilych And Other Stories,Aleksandr Solzhenitsyn/Nicholas Bethell/David Burg,3.26,13,1976,
234,War and Peace,Alex Austin,3.26,13,1976,
235,The Kingdom of God Is Within You,Alex C. Jones/Diane M. Hanson/Stephen K. Ray,3.26,13,1976,
236,Atlas Shrugged,Alex Constantine,3.27,13,1976,
237,For the New Intellectual: The Philosophy of Ayn Rand,Alex Cox/Abbe Wool,3.27,13,1977,
238,The Fountainhead,Alex Kotlowitz,3.27,14,1977,
239,The Virtue of Selfishness: A New Concept of Egoism,Alex Ross/Geoff Spear/Chip Kidd,3.27,14,1977,
240,Anthem,Alex Went,3.27,14,1977,
241,We the Living,Alexander  Walker,3.27,14,1977,
242,Capitalism: The Unknown Ideal,Alexander C. Irvine,3.27,14,1977,
243,Letters of Ayn Rand,Alexander Heidel,3.28,14,1977,
244,Sailing for Dummies,Alexander Hunter,3.28,14,1977,
245,Sailing from Byzantium: How a Lost Empire Shaped the World,Alexander McCall Smith,3.28,14,1977,
246,Sailing Alone Around the Room: New and Selected Poems,Alexander McCall Smith,3.28,14,1977,
247,The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Alexander McCall Smith,3.28,14,1977,
248,"Natural Cures ""They"" Don't Want You to Know about",Alexander McCall Smith,3.28,14,1977,
249,The Natural,Alexander McCall Smith,3.28,14,1977,
250,Digging to America,Alexander McCall Smith,3.28,14,1977,
251,Rereading America: Cultural Contexts for Critical Thinking and Writing,Alexander McCall Smith,3.28,14,1977,
252,Modern Latin America,Alexander McCall Smith,3.29,14,1977,
253,The Plot Against America,Alexander McCall Smith,3.29,15,1977,
254,Naked Pictures of Famous People,Alexander McCall Smith,3.29,15,1977,
255,Collected Stories,Alexander McCall Smith,3.29,15,1977,
256,Crónica de una muerte anunciada,Alexander McCall Smith,3.29,15,1977,
257,Cien años de soledad,Alexander McCall Smith,3.29,15,1977,
258,Del amor y otros demonios,Alexander McCall Smith,3.29,15,1977,
259,Living to Tell the Tale,Alexander McCall Smith,3.29,15,1977,
260,Memoria de mis putas tristes,Alexander McCall Smith/Lisette Lecat,3.29,16,1977,
261,The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Alexander McCall Smith/Marta Torent López de Lamadrid,3.29,16,1977,
262,Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Alexander Payne/Jim     Taylor,3.29,16,1977,
263,The Mini Rough Guide to London,Alexander Payne/Jim     Taylor,3.29,16,1977,
264,Best of London (Lonely Planet Best Of),Alexander Pope/Aubrey Williams,3.29,16,1977,
265,Lonely Planet Londres,Alexander Pope/Pat Rogers,3.29,16,1977,
266,Out to Eat London 2002 (Lonely Planet Out to Eat),Alexander Pushkin/Charles Johnston/John Bayley,3.3,16,1977,
267,Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,Alexander Pushkin/Charles Johnston/Michael Basker/John Bayley,3.3,16,1977,
268,Cryptonomicon,Alexander Pushkin/Douglas R. Hofstadter,3.3,16,1977,
269,Le Réseau Kinakuta (Cryptonomicon  #2),Alexander Pushkin/James E. Falen,3.3,16,1977,
270,The Confusion (The Baroque Cycle  #2),Alexander Pushkin/Tom Beck,3.3,17,1977,
271,Quicksilver (The Baroque Cycle  #1),Alexander Pushkin/Vladimir Nabokov,3.3,17,1978,
272,The Cobweb,Alexander Pushkin/Vladimir Nabokov,3.3,18,1978,
273,The Big U,Alexander Pushkin/Walter W. Arndt,3.31,18,1978,
274,The Diamond Age: Or  A Young Lady's Illustrated Primer,Alexandra Moss,3.31,20,1978,
275,Interface,Alexandra Moss,3.31,20,1978,
276,Odalisque (The Baroque Cycle  Vol. 1  Book 3),Alexandra Moss/Veronica Bennett,3.31,20,1978,
277,Snow Crash,Alexandra Robbins,3.31,21,1978,
278,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,Alexandra Siy/Dennis Kunkel,3.31,22,1978,
279,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,Alexandre Dumas fils/David Coward,3.31,24,1978,
280,The Design of Everyday Things,Alexandre Dumas/Barbara T. Cooper,3.31,24,1978,
281,Emotional Design: Why We Love (or Hate) Everyday Things,Alexandre Dumas/Brantley Johnson/Margaret Brantley,3.31,24,1978,
282,The Psychology of Everyday Things,Alexandre Dumas/Julie Rose/Lorenzo Carcaterra,3.31,24,1978,
283,No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,Alexandre Dumas/Keith Wren,3.31,24,1978,
284,The Alchemist,Alexandre Dumas/Lorenzo Carcaterra,3.31,24,1978,
285,The Alchemist,Alexandre Dumas/Michael Page,3.31,24,1978,
286,Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Alexandre Dumas/Robin Buss,3.31,24,1978,
287,Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Alexandre Dumas/Robin Buss,3.31,24,1978,
288,Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Alexandre Dumas/Robin Buss,3.32,24,1978,
289,Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Alexis de Tocqueville/Eduardo Brandão/Phillips Bradley/Luann Walther,3.32,24,1978,
290,Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),Alexis de Tocqueville/Harvey Mansfield/Delba Winthrop,3.32,24,1978,
291,The Illustrated Alchemist: A Fable about Following Your Dream,Alexis de Tocqueville/Isaac Kramnick/Gerald Bevan,3.32,24,1978,
292,Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),Alexis de Tocqueville/John Stone/Stephen Mennell,3.32,24,1978,
293,Pompeii,Alfred D. Chandler Jr.,3.32,24,1978,
294,The Last Days of Pompeii,Alfred Hitchcock/Don Tothe,3.32,24,1978,
295,Of Mice and Men,Alfred Uhry,3.32,24,1979,
296,The Game: Penetrating the Secret Society of Pickup Artists,Ali Vali,3.32,24,1979,
297,The Westing Game,Alice   Miller,3.32,24,1979,
298,The Egypt Game,Alice   Miller/Andrew Edwin Jenkins,3.32,24,1979,
299,Memoirs of a Geisha,Alice   Miller/Ruth Ward,3.32,25,1979,
300,Memoirs of a Geisha,Alice Dalgliesh/Helen Sewell,3.32,26,1979,
301,Memoirs of a Geisha,Alice Dalgliesh/Marie Nonnast,3.32,27,1979,
302,Memoirs of a Geisha: A Portrait of the Film,Alice Hoffman,3.32,28,1979,
303,Memoirs of a Geisha,Alice Hoffman,3.32,28,1979,
304,Geisha of Gion,Alice Hoffman,3.32,29,1979,
305,Love As A Foreign Language #5,Alice Hoffman,3.32,29,1979,
306,Jungle Love,Alice Hoffman,3.32,30,1979,
307,The 5 Love Languages / The 5 Love Languages Journal,Alice Hoffman,3.32,30,1979,
308,Angels & Demons (Robert Langdon  #1),Alice Hoffman,3.32,30,1979,
309,Ángeles y demonios (Robert Langdon  #1),Alice Kaplan,3.33,31,1979,
310,Angeles & Demonios,Alice Medrich,3.33,31,1979,
311,The Da Vinci Code (Robert Langdon  #2),Alice Medrich,3.33,31,1979,
